name_of_firm,trade_name,category,owner,address,city,state,zip,description
"MGM Solutions, Inc.",POSGuys.com,veteran-owned,Camille Hackler,915 Iowa St,Bellingham,WA,98225-4229,•Control of Work •Permit to Work •Retail POS •Restaurant POS •Mobile Solutions Custom solutions involving barcoding and advanced data capture technologies •Warehouse Solutions •Healthcare Solutions
"Business Radio, Inc. ",Columbia Communications ,veteran-owned,William A Holesworth,205 N Volland St,Kennewick,WA,99336-2268,Two-Way radios/systems sales and service. Wireless Communications. Familiar with needs of the Public Safety providers.
"MEDPACS, LLC",,veteran-owned,Sharon Wallace,6523 CALIFORNIA AVE SW STE 273,SEATTLE,WA,98136-1833,"Healthcare Support Services, IT Support and Consulting, Case Management, Picture and Archiving System Support (PACS), IT Infrastructure Management and Operation. Application Consulting and development"
"MEDSTAR EQUIPMENT SALES, LLC",,veteran-owned,Ronald LaPlante,9017 NE 160TH AVE,VANCOUVER,WA,98682-0715,"Respiratory therapy, anesthesia supplies, ventilators, cannulas, nebulizers, flowmeters, resuscitation products, respiratory monitoring, pulmonary function, airway management, oxygen therapy, ventilator,"
"All Ocean Services, LLC",,veteran-owned,ALFRED Favre,1205 CRAFTSMAN WAY STE 100,EVERETT,WA,98201-1594,"All Ocean Services Provides ONE STOP Purchasing, Logistics and Expediting Services. Shipboard Equipment, Machinery, Main Engines and Auxiliaries, and related parts, Electrical Equipment and Components, HVAC Equipment/Parts, Piping Materials, Valves, Pneumatic Equipment/Parts, Hydraulic Equipment/Parts, Gasket Material, Seals, Bearings, Consumables for Shipboard and Shore Side Facilities, Building Materials and related Equipment for Maintenance and Repairs."
"Independent Strategic Management Solutions, Inc.",ISMSolutions,minority-owned,Shirley J Olinger,491 Adair Dr,Richland,WA,99352-8647,"Provides management/technical consulting services to gov't/contractors in environmental clean-up, national security, Dept. of Navy & energy sectors. Focus in environment, safety & health, quality, nuclear safety, engineering, operations, security and command & control."
"Glacier Peak Technology, LLC ",EVOLUCID SOFTWARE ,minority-owned,LIN C FELTON,"2612 Nw 201st Street, DP-1",Shoreline,WA,98177-2465,"Microprocessor, microelectronic system design and engineering, embedded system software and custom embedded software."
"Jabez Holdings, Inc. ",Jabez Construction/st Fabrication ,minority-owned,Jesse T Cherian,13322 142nd Ave E,Orting,WA,98360-9560,"General contractor, 8(a), SDB, DBE with proven expertise in design build construction projects, AISC certified fabrication, erection, quality construction services to federal, military, and private projects in WA, HI, AK, and Guam for more than 30 years."
Alliance Property Services LLC,,minority-owned,VICTOR K. VALENZUELA,7018 TACOMA MALL BLVD SUITE 202,TACOMA,WA,98409-6641,"Grounds Maintenance, property maintenance, Janitorial Services, facilities (except computer operations) support services, site grading, site development, site utilities"
BiSOFT Consultancy Services LLC,Bisoft,minority-owned,PRIYADHARSHINI BALAJI,16310 NE 80th St Ste 104,Redmond,WA,98052-3861,"IT CONSULTING COMPANY SPECIALIZED in IT SERVICES & STAFFING FOR DESIGN, DEVELOPMENT, TESTING, MAINTENANCE, SUPPORT OF WEBSITEs, WEB TECHNOLOGIES & APPLICATION SOFTWAREs. SEO, E-COMMERCE PRODUCT DEVELOPMENT. CUSTOMIZED APPLICATION DEVELOPMENT OF MAINFRAME AND OPEN SYSTEMS. OPTIONAL COST EFFECTIVE ONSITE-OFFSHORE MODEL."
MARINA PEIRANO LLC,Peirano Consulting,minority-owned,Marina F Peirano,109 John St Apt 208,Seattle,WA,98109-4919,Digital creative firm that helps clients create and launch new products and services.
"Silver Mountain Construction, LLC",,minority-owned,Brent Brooks,801 6TH ST,BREMERTON,WA,98337-1439,"Silver Mountain Construction (SMC) is an 8(a) certified small business that provides comprehensive construction services for commercial, military, and government customers. SMC provides decontamination/disinfection services as well as General Contracting and subcontracting services, capable of self-performing carpentry, civil, fire protection, electrical, and mechanical, as well as extensive past performance with Petroleum, Oil and Lubricants (POL) and fuels projects. SMC's qualifications are best reflected in our current and ongoing indefinite delivery/indefinite quantity (IDIQ) contracts and our competitively bid projects. Excellent past performance for the U.S. Air Force, U.S. Army, U.S. Army Corps of Engineers, U.S. Coast Guard, U.S. Fish and Wildlife, U.S. Department of Veterans Affairs is testament to our capabilities and outstanding service we provide. SMC is a low risk small business with large business processes, procedures, and infrastructure with a current EMR of 0.76."
Cherokee General Corporation,,minority-owned,William Line,3450 S 344th Way Ste 100,Federal Way,WA,98001-5931,"Cherokee General Corporation's experience includes new construction, heavy civil, Design-Build, renovations, HVAC, environmental services, surveying and general engineering. Cherokee was named the 2003 “National 8(a) Small Business of the Year.”"
Cyborg Mobile LLC,Cyborg Mobile,minority-owned,Kobie Hatcher,15 S Grady Way Ste 423,Renton,WA,98057-3219,We are a Minority-owned technology and management consultancy founded in 2009. We lead from ideation to implementation scaling new and existing programs/projects in short timeframes. Our Change Leadership approach has proven successful across industry verticals to help our clients succeed in delivering accelerated strategic outcomes for sustainable change. We pride ourselves on delivering the best results and increased productivity for our clients’ businesses.
"INNES SR, SHANE",INNES WOOD PRODUCTS,minority-owned,SHANE  C INNES SR,339 SAN POIL HOMES,KELLER,WA,99140-0000,"Felling,Thinning,Slashing,Lop & Scatter,Piling, Pruning,Fuel Reduction/Sanitation,Fence Building,Forest trails maintenance,Tree/Native plants/Shrubs planting,River banks stabilization,Fire Handlines,Wildland Firefighting,Prescribed burning,Fire Rehab"
"ORDONEZ, RITA",,minority-owned,Rita Ordonez,123 S 9TH ST,MOUNT VERNON,WA,98274-4005,
"Certified Calibration Service, LLC",CCS Calibrations and Validations,minority-owned,INEKE Wolff,917 Industry Dr,Tukwila,WA,98188-3413,"Calibration and Validation. Temperature,Humidity, Pressure,Vacuum,Analytical,Dimensional Calibrations.Thermal Mapping. Temperature Uniformity Surveys. IQ,OQ,PQ environmental chamber qualifications. Thermocouple sensor sales and calibration"
PROFESSIONAL MINORITY STAFFING,,minority-owned,JOHN  Sheppard,10205 SE 185TH PL,RENTON,WA,98055-6499,Contracted to provide employment services for people with disabilities for the Social Security Administration. The Firm's services help Beneficiaries become self-sufficient and have no additional need for benefits from SSA.
Allstar Lighting L.L.C.,,minority-owned,Dewayne J Simpson,3723 Serene Way,Lynnwood,WA,98087-5204,"Lights Inc is a Full-Service Electrical Contractor. We service Commercial, State, and Federal facilities, with an emphasis on conservation through Energy efficient Lighting, Controls and Design. We are licensed in the states of WA and CA. We perform interior/exterior spot maintenance to full retrofits. 	Washington State Certified Electricians 	Transportation Worker Identification Credential (TWIC) card holders 	Apprenticeship Program with Construction Industry Training Council (CITC)  https://lightsinc.com"
Port Madison Enterprises Construction Corporation,,minority-owned,Scott George,15775 GEORGE LN NE STE 210,POULSBO,WA,98370-7888,"PMECC is a diverse general contractor specializing in three main divisions; residential and commercial site development, road and parking area construction, and residential and commercial sewer systems."
LANGUAGES TRANSLATION SERVICES,,minority-owned,DANIEL S Sabore,34726 31ST CT SW,FEDERAL WAY,WA,98023-3000,"We provide: Translation, Interpretation voice-over, type setting /DTP, technical Edition/proofreading, Localization, Film Subtitling, Research Interview in more than 300 languages. We also provide services in agriculture and natural resources."
"RORE, INC.",,minority-owned,GITA MURTHY,11505 Burnham Dr Ste 101,Gig Harbor,WA,98332-9173,"Woman owned, 8(a) certified, small disadvantaged business with capabilities in design-build construction, renovations, repairs, electrical, HVAC, airfield, control towers, CDC; and environmental remediation, geotechnical, haz mat management and disposal."
J. KEISER & ASSOCIATES LLC ,JKA ,minority-owned,Janette Keiser,15715 Virginia Point Rd NE,Poulsbo,WA,98370-8037,"Lean Consulting, Organizational Leadership Training, Train-the-Trainer, Lean Construction Principals, Contract Law"
SB Hotels LLC,,minority-owned,Dean Cordy,4600 Capitol Blvd SE,Tumwater,WA,98501-4417,"La Quinta Inns and Suites™ offers just what any traveler needs to wake up on the bright side. At La Quinta Inns & Suites, we know that travel can be challenging. That's why we're here to help both business and leisure travelers find their inner optimist."
J AND S LOGISTICS LLC,,minority-owned,Damion E Jiles Sr,16506 NE 14TH AVE,RIDGEFIELD,WA,98642-5641,"We offer janitorial services for your space, regardless of the size. We use eco-friendly (green) products that are non-toxic and safe for the environment. Our professional staff is properly trained to provide the customer with a level of service that is second to none. We do not work for a time, we work to a standard; leaving your space looking as if it were brand new. • Specializing in COVID-19 disinfecting and cleaning services • Provides top notch janitorial services using eco-friendly products • Disinfecting products are non-toxic, dries clean and leaves no odor • Properly trained in the application of COVID-19 disinfectant • Uses proper PPE when applicable  Areas of Expertise • We can provide all areas of needed services • Can provide on-going COVID-19 sanitization services • Can provide a one time deep clean of all work spaces or routine cleaning • partners with vendors necessary to complete any job • Servicing WA and OR"
"URBAN BUGGY LLC, THE","Urban Buggy Farm, The",minority-owned,DENNIS  T Comer,308 22nd Ave S Ste 101,Seattle,WA,98144-2260,"We are a distribution company, specializing in the procurement of personal protective equipment, cosmetics/beauty products, and some specialty food based products"
"RAMOS REFORESTATION, INC.",,minority-owned,Jose E Contreras,1760 MT BRYNION RD,KELSO,WA,98626-9545,"Ramos Reforestation Inc provides a complete forestry maitenance service including Pre-commercial thinning, Planting, Prunning, Hand Pilling, Brushing, PCT, less Fire Suppresion"
Ohno Construction Company ,,minority-owned,Michio M Ohno,9416 MLK Jr Way S,Seattle,WA,98118-5418,"Synthetic and natural turf athletic fields, synthetic and natural surface tracks, parks, campgrounds, landscaping, habitat restoration, underground utilities, parking lots, restroom buildings, baseball fields, soccer fields, football fields"
S.E.A. CONSTRUCTION LLC,,minority-owned,JOELLE  BUCKMAN,53 ELK CREEK RD,RAYMOND,WA,98577-9214,"Heavy civil construction, dump trucking"
"Newton Building & Development, LLC",NBD,minority-owned,ROGER Newton,1120 Pearl St,Bremerton,WA,98310-2838,"General contractor specializing in commercial and industrial construction, asbestos and lead abatement, and environmental remediation. Also performs tenant improvements, demolition, stucco, plaster and site work."
